-------------------------------------
Boss DS-330 Memory dump
-------------------------------------
SystemParams Zone 0x100000 (packed: 0x400000) 0x000080 (packed: 0x000100) BYTES
-------------------------------------
0x100000 (packed: 0x400000)=00040000        SystemParams Zone/SystemParams/Tune
0x10151B (packed: 0x402A1B)=00              PatchSends Zone/block[10]/PatchSends/BEND/[0]/reserved
0x10151C (packed: 0x402A1C)=00              PatchSends Zone/block[10]/PatchSends/BEND/[1]/reserved
0x10151D (packed: 0x402A1D)=00              PatchSends Zone/block[10]/PatchSends/BEND/[2]/reserved
0x10151E (packed: 0x402A1E)=00              PatchSends Zone/block[10]/PatchSends/BEND/[3]/reserved
0x10151F (packed: 0x402A1F)=00              PatchSends Zone/block[10]/PatchSends/BEND/[4]/reserved
0x101520 (packed: 0x402A20)=40              PatchSends Zone/block[10]/PatchSends/CAF/Pitch Coarse
0x101521 (packed: 0x402A21)=40              PatchSends Zone/block[10]/PatchSends/CAF/TVF
0x101522 (packed: 0x402A22)=40              PatchSends Zone/block[10]/PatchSends/CAF/TVA
0x101523 (packed: 0x402A23)=40              PatchSends Zone/block[10]/PatchSends/CAF/LFO1/Rate
0x101524 (packed: 0x402A24)=00              PatchSends Zone/block[10]/PatchSends/CAF/LFO1/Pitch
0x101525 (packed: 0x402A25)=00              PatchSends Zone/block[10]/PatchSends/CAF/LFO1/TVF
0x101526 (packed: 0x402A26)=00              PatchSends Zone/block[10]/PatchSends/CAF/LFO1/TVA
0x101527 (packed: 0x402A27)=40              PatchSends Zone/block[10]/PatchSends/CAF/LFO2/Rate
0x101528 (packed: 0x402A28)=00              PatchSends Zone/block[10]/PatchSends/CAF/LFO2/Pitch
0x101529 (packed: 0x402A29)=00              PatchSends Zone/block[10]/PatchSends/CAF/LFO2/TVF
0x10152A (packed: 0x402A2A)=00              PatchSends Zone/block[10]/PatchSends/CAF/LFO2/TVA
0x10152B (packed: 0x402A2B)=00              PatchSends Zone/block[10]/PatchSends/CAF/[0]/reserved
0x10152C (packed: 0x402A2C)=00              PatchSends Zone/block[10]/PatchSends/CAF/[1]/reserved
0x10152D (packed: 0x402A2D)=00              PatchSends Zone/block[10]/PatchSends/CAF/[2]/reserved
0x10152E (packed: 0x402A2E)=00              PatchSends Zone/block[10]/PatchSends/CAF/[3]/reserved
0x10152F (packed: 0x402A2F)=00              PatchSends Zone/block[10]/PatchSends/CAF/[4]/reserved
0x101530 (packed: 0x402A30)=40              PatchSends Zone/block[10]/PatchSends/PAF/Pitch Coarse
0x101531 (packed: 0x402A31)=40              PatchSends Zone/block[10]/PatchSends/PAF/TVF
0x101532 (packed: 0x402A32)=40              PatchSends Zone/block[10]/PatchSends/PAF/TVA
0x101533 (packed: 0x402A33)=40              PatchSends Zone/block[10]/PatchSends/PAF/LFO1/Rate
0x101534 (packed: 0x402A34)=00              PatchSends Zone/block[10]/PatchSends/PAF/LFO1/Pitch
0x101535 (packed: 0x402A35)=00              PatchSends Zone/block[10]/PatchSends/PAF/LFO1/TVF
0x101536 (packed: 0x402A36)=00              PatchSends Zone/block[10]/PatchSends/PAF/LFO1/TVA
0x101537 (packed: 0x402A37)=40              PatchSends Zone/block[10]/PatchSends/PAF/LFO2/Rate
0x101538 (packed: 0x402A38)=00              PatchSends Zone/block[10]/PatchSends/PAF/LFO2/Pitch
0x101539 (packed: 0x402A39)=00              PatchSends Zone/block[10]/PatchSends/PAF/LFO2/TVF
0x10153A (packed: 0x402A3A)=00              PatchSends Zone/block[10]/PatchSends/PAF/LFO2/TVA
0x10153B (packed: 0x402A3B)=00              PatchSends Zone/block[10]/PatchSends/PAF/[0]/reserved
0x10153C (packed: 0x402A3C)=00              PatchSends Zone/block[10]/PatchSends/PAF/[1]/reserved
0x10153D (packed: 0x402A3D)=00              PatchSends Zone/block[10]/PatchSends/PAF/[2]/reserved
0x10153E (packed: 0x402A3E)=00              PatchSends Zone/block[10]/PatchSends/PAF/[3]/reserved
0x10153F (packed: 0x402A3F)=00              PatchSends Zone/block[10]/PatchSends/PAF/[4]/reserved
0x101540 (packed: 0x402A40)=40              PatchSends Zone/block[10]/PatchSends/CC1/Pitch Coarse
0x101541 (packed: 0x402A41)=40              PatchSends Zone/block[10]/PatchSends/CC1/TVF
0x101542 (packed: 0x402A42)=40              PatchSends Zone/block[10]/PatchSends/CC1/TVA
0x101543 (packed: 0x402A43)=40              PatchSends Zone/block[10]/PatchSends/CC1/LFO1/Rate
0x101544 (packed: 0x402A44)=00              PatchSends Zone/block[10]/PatchSends/CC1/LFO1/Pitch
0x101545 (packed: 0x402A45)=00              PatchSends Zone/block[10]/PatchSends/CC1/LFO1/TVF
0x101546 (packed: 0x402A46)=00              PatchSends Zone/block[10]/PatchSends/CC1/LFO1/TVA
0x101547 (packed: 0x402A47)=40              PatchSends Zone/block[10]/PatchSends/CC1/LFO2/Rate
0x101548 (packed: 0x402A48)=00              PatchSends Zone/block[10]/PatchSends/CC1/LFO2/Pitch
0x101549 (packed: 0x402A49)=00              PatchSends Zone/block[10]/PatchSends/CC1/LFO2/TVF
0x10154A (packed: 0x402A4A)=00              PatchSends Zone/block[10]/PatchSends/CC1/LFO2/TVA
0x10154B (packed: 0x402A4B)=00              PatchSends Zone/block[10]/PatchSends/CC1/[0]/reserved
0x10154C (packed: 0x402A4C)=00              PatchSends Zone/block[10]/PatchSends/CC1/[1]/reserved
0x10154D (packed: 0x402A4D)=00              PatchSends Zone/block[10]/PatchSends/CC1/[2]/reserved
0x10154E (packed: 0x402A4E)=00              PatchSends Zone/block[10]/PatchSends/CC1/[3]/reserved
0x10154F (packed: 0x402A4F)=00              PatchSends Zone/block[10]/PatchSends/CC1/[4]/reserved
0x101550 (packed: 0x402A50)=40              PatchSends Zone/block[10]/PatchSends/CC2/Pitch Coarse
0x101551 (packed: 0x402A51)=40              PatchSends Zone/block[10]/PatchSends/CC2/TVF
0x101552 (packed: 0x402A52)=40              PatchSends Zone/block[10]/PatchSends/CC2/TVA
0x101553 (packed: 0x402A53)=40              PatchSends Zone/block[10]/PatchSends/CC2/LFO1/Rate
0x101554 (packed: 0x402A54)=00              PatchSends Zone/block[10]/PatchSends/CC2/LFO1/Pitch
0x101555 (packed: 0x402A55)=00              PatchSends Zone/block[10]/PatchSends/CC2/LFO1/TVF
0x101556 (packed: 0x402A56)=00              PatchSends Zone/block[10]/PatchSends/CC2/LFO1/TVA
0x101557 (packed: 0x402A57)=40              PatchSends Zone/block[10]/PatchSends/CC2/LFO2/Rate
0x101558 (packed: 0x402A58)=00              PatchSends Zone/block[10]/PatchSends/CC2/LFO2/Pitch
0x101559 (packed: 0x402A59)=00              PatchSends Zone/block[10]/PatchSends/CC2/LFO2/TVF
0x10155A (packed: 0x402A5A)=00              PatchSends Zone/block[10]/PatchSends/CC2/LFO2/TVA
0x10155B (packed: 0x402A5B)=00              PatchSends Zone/block[10]/PatchSends/CC2/[0]/reserved
0x10155C (packed: 0x402A5C)=00              PatchSends Zone/block[10]/PatchSends/CC2/[1]/reserved
0x10155D (packed: 0x402A5D)=00              PatchSends Zone/block[10]/PatchSends/CC2/[2]/reserved
0x10155E (packed: 0x402A5E)=00              PatchSends Zone/block[10]/PatchSends/CC2/[3]/reserved
0x10155F (packed: 0x402A5F)=00              PatchSends Zone/block[10]/PatchSends/CC2/[4]/reserved
0x101580 (packed: 0x402B00)=40              PatchSends Zone/block[11]/PatchSends/MOD/Pitch Coarse
0x101581 (packed: 0x402B01)=40              PatchSends Zone/block[11]/PatchSends/MOD/TVF
0x101582 (packed: 0x402B02)=40              PatchSends Zone/block[11]/PatchSends/MOD/TVA
0x101583 (packed: 0x402B03)=40              PatchSends Zone/block[11]/PatchSends/MOD/LFO1/Rate
0x101584 (packed: 0x402B04)=0A              PatchSends Zone/block[11]/PatchSends/MOD/LFO1/Pitch
0x101585 (packed: 0x402B05)=00              PatchSends Zone/block[11]/PatchSends/MOD/LFO1/TVF
0x101586 (packed: 0x402B06)=00              PatchSends Zone/block[11]/PatchSends/MOD/LFO1/TVA
0x101587 (packed: 0x402B07)=40              PatchSends Zone/block[11]/PatchSends/MOD/LFO2/Rate
0x101588 (packed: 0x402B08)=00              PatchSends Zone/block[11]/PatchSends/MOD/LFO2/Pitch
0x101589 (packed: 0x402B09)=00              PatchSends Zone/block[11]/PatchSends/MOD/LFO2/TVF
0x10158A (packed: 0x402B0A)=00              PatchSends Zone/block[11]/PatchSends/MOD/LFO2/TVA
0x10158B (packed: 0x402B0B)=00              PatchSends Zone/block[11]/PatchSends/MOD/[0]/reserved
0x10158C (packed: 0x402B0C)=00              PatchSends Zone/block[11]/PatchSends/MOD/[1]/reserved
0x10158D (packed: 0x402B0D)=00              PatchSends Zone/block[11]/PatchSends/MOD/[2]/reserved
0x10158E (packed: 0x402B0E)=00              PatchSends Zone/block[11]/PatchSends/MOD/[3]/reserved
0x10158F (packed: 0x402B0F)=00              PatchSends Zone/block[11]/PatchSends/MOD/[4]/reserved
0x101590 (packed: 0x402B10)=42              PatchSends Zone/block[11]/PatchSends/BEND/Pitch Coarse
0x101591 (packed: 0x402B11)=40              PatchSends Zone/block[11]/PatchSends/BEND/TVF
0x101592 (packed: 0x402B12)=40              PatchSends Zone/block[11]/PatchSends/BEND/TVA
0x101593 (packed: 0x402B13)=40              PatchSends Zone/block[11]/PatchSends/BEND/LFO1/Rate
0x101594 (packed: 0x402B14)=00              PatchSends Zone/block[11]/PatchSends/BEND/LFO1/Pitch
0x101595 (packed: 0x402B15)=00              PatchSends Zone/block[11]/PatchSends/BEND/LFO1/TVF
0x101596 (packed: 0x402B16)=00              PatchSends Zone/block[11]/PatchSends/BEND/LFO1/TVA
0x101597 (packed: 0x402B17)=40              PatchSends Zone/block[11]/PatchSends/BEND/LFO2/Rate
0x101598 (packed: 0x402B18)=00              PatchSends Zone/block[11]/PatchSends/BEND/LFO2/Pitch
0x101599 (packed: 0x402B19)=00              PatchSends Zone/block[11]/PatchSends/BEND/LFO2/TVF
0x10159A (packed: 0x402B1A)=00              PatchSends Zone/block[11]/PatchSends/BEND/LFO2/TVA
0x10159B (packed: 0x402B1B)=00              PatchSends Zone/block[11]/PatchSends/BEND/[0]/reserved
0x10159C (packed: 0x402B1C)=00              PatchSends Zone/block[11]/PatchSends/BEND/[1]/reserved
0x10159D (packed: 0x402B1D)=00              PatchSends Zone/block[11]/PatchSends/BEND/[2]/reserved
0x10159E (packed: 0x402B1E)=00              PatchSends Zone/block[11]/PatchSends/BEND/[3]/reserved
0x10159F (packed: 0x402B1F)=00              PatchSends Zone/block[11]/PatchSends/BEND/[4]/reserved
0x1015A0 (packed: 0x402B20)=40              PatchSends Zone/block[11]/PatchSends/CAF/Pitch Coarse
0x1015A1 (packed: 0x402B21)=40              PatchSends Zone/block[11]/PatchSends/CAF/TVF
0x1015A2 (packed: 0x402B22)=40              PatchSends Zone/block[11]/PatchSends/CAF/TVA
0x1015A3 (packed: 0x402B23)=40              PatchSends Zone/block[11]/PatchSends/CAF/LFO1/Rate
0x1015A4 (packed: 0x402B24)=00              PatchSends Zone/block[11]/PatchSends/CAF/LFO1/Pitch
0x1015A5 (packed: 0x402B25)=00              PatchSends Zone/block[11]/PatchSends/CAF/LFO1/TVF
0x1015A6 (packed: 0x402B26)=00              PatchSends Zone/block[11]/PatchSends/CAF/LFO1/TVA
0x1015A7 (packed: 0x402B27)=40              PatchSends Zone/block[11]/PatchSends/CAF/LFO2/Rate
0x1015A8 (packed: 0x402B28)=00              PatchSends Zone/block[11]/PatchSends/CAF/LFO2/Pitch
0x1015A9 (packed: 0x402B29)=00              PatchSends Zone/block[11]/PatchSends/CAF/LFO2/TVF
0x1015AA (packed: 0x402B2A)=00              PatchSends Zone/block[11]/PatchSends/CAF/LFO2/TVA
0x1015AB (packed: 0x402B2B)=00              PatchSends Zone/block[11]/PatchSends/CAF/[0]/reserved
0x1015AC (packed: 0x402B2C)=00              PatchSends Zone/block[11]/PatchSends/CAF/[1]/reserved
0x1015AD (packed: 0x402B2D)=00              PatchSends Zone/block[11]/PatchSends/CAF/[2]/reserved
0x1015AE (packed: 0x402B2E)=00              PatchSends Zone/block[11]/PatchSends/CAF/[3]/reserved
0x1015AF (packed: 0x402B2F)=00              PatchSends Zone/block[11]/PatchSends/CAF/[4]/reserved
0x1015B0 (packed: 0x402B30)=40              PatchSends Zone/block[11]/PatchSends/PAF/Pitch Coarse
0x1015B1 (packed: 0x402B31)=40              PatchSends Zone/block[11]/PatchSends/PAF/TVF
0x1015B2 (packed: 0x402B32)=40              PatchSends Zone/block[11]/PatchSends/PAF/TVA
0x1015B3 (packed: 0x402B33)=40              PatchSends Zone/block[11]/PatchSends/PAF/LFO1/Rate
0x1015B4 (packed: 0x402B34)=00              PatchSends Zone/block[11]/PatchSends/PAF/LFO1/Pitch
0x1015B5 (packed: 0x402B35)=00              PatchSends Zone/block[11]/PatchSends/PAF/LFO1/TVF
0x1015B6 (packed: 0x402B36)=00              PatchSends Zone/block[11]/PatchSends/PAF/LFO1/TVA
0x1015B7 (packed: 0x402B37)=40              PatchSends Zone/block[11]/PatchSends/PAF/LFO2/Rate
0x1015B8 (packed: 0x402B38)=00              PatchSends Zone/block[11]/PatchSends/PAF/LFO2/Pitch
0x1015B9 (packed: 0x402B39)=00              PatchSends Zone/block[11]/PatchSends/PAF/LFO2/TVF
0x1015BA (packed: 0x402B3A)=00              PatchSends Zone/block[11]/PatchSends/PAF/LFO2/TVA
0x1015BB (packed: 0x402B3B)=00              PatchSends Zone/block[11]/PatchSends/PAF/[0]/reserved
0x1015BC (packed: 0x402B3C)=00              PatchSends Zone/block[11]/PatchSends/PAF/[1]/reserved
0x1015BD (packed: 0x402B3D)=00              PatchSends Zone/block[11]/PatchSends/PAF/[2]/reserved
0x1015BE (packed: 0x402B3E)=00              PatchSends Zone/block[11]/PatchSends/PAF/[3]/reserved
0x1015BF (packed: 0x402B3F)=00              PatchSends Zone/block[11]/PatchSends/PAF/[4]/reserved
0x1015C0 (packed: 0x402B40)=40              PatchSends Zone/block[11]/PatchSends/CC1/Pitch Coarse
0x1015C1 (packed: 0x402B41)=40              PatchSends Zone/block[11]/PatchSends/CC1/TVF
0x1015C2 (packed: 0x402B42)=40              PatchSends Zone/block[11]/PatchSends/CC1/TVA
0x1015C3 (packed: 0x402B43)=40              PatchSends Zone/block[11]/PatchSends/CC1/LFO1/Rate
0x1015C4 (packed: 0x402B44)=00              PatchSends Zone/block[11]/PatchSends/CC1/LFO1/Pitch
0x1015C5 (packed: 0x402B45)=00              PatchSends Zone/block[11]/PatchSends/CC1/LFO1/TVF
0x1015C6 (packed: 0x402B46)=00              PatchSends Zone/block[11]/PatchSends/CC1/LFO1/TVA
0x1015C7 (packed: 0x402B47)=40              PatchSends Zone/block[11]/PatchSends/CC1/LFO2/Rate
0x1015C8 (packed: 0x402B48)=00              PatchSends Zone/block[11]/PatchSends/CC1/LFO2/Pitch
0x1015C9 (packed: 0x402B49)=00              PatchSends Zone/block[11]/PatchSends/CC1/LFO2/TVF
0x1015CA (packed: 0x402B4A)=00              PatchSends Zone/block[11]/PatchSends/CC1/LFO2/TVA
0x1015CB (packed: 0x402B4B)=00              PatchSends Zone/block[11]/PatchSends/CC1/[0]/reserved
0x1015CC (packed: 0x402B4C)=00              PatchSends Zone/block[11]/PatchSends/CC1/[1]/reserved
0x1015CD (packed: 0x402B4D)=00              PatchSends Zone/block[11]/PatchSends/CC1/[2]/reserved
0x1015CE (packed: 0x402B4E)=00              PatchSends Zone/block[11]/PatchSends/CC1/[3]/reserved
0x1015CF (packed: 0x402B4F)=00              PatchSends Zone/block[11]/PatchSends/CC1/[4]/reserved
0x1015D0 (packed: 0x402B50)=40              PatchSends Zone/block[11]/PatchSends/CC2/Pitch Coarse
0x1015D1 (packed: 0x402B51)=40              PatchSends Zone/block[11]/PatchSends/CC2/TVF
0x1015D2 (packed: 0x402B52)=40              PatchSends Zone/block[11]/PatchSends/CC2/TVA
0x1015D3 (packed: 0x402B53)=40              PatchSends Zone/block[11]/PatchSends/CC2/LFO1/Rate
0x1015D4 (packed: 0x402B54)=00              PatchSends Zone/block[11]/PatchSends/CC2/LFO1/Pitch
0x1015D5 (packed: 0x402B55)=00              PatchSends Zone/block[11]/PatchSends/CC2/LFO1/TVF
0x1015D6 (packed: 0x402B56)=00              PatchSends Zone/block[11]/PatchSends/CC2/LFO1/TVA
0x1015D7 (packed: 0x402B57)=40              PatchSends Zone/block[11]/PatchSends/CC2/LFO2/Rate
0x1015D8 (packed: 0x402B58)=00              PatchSends Zone/block[11]/PatchSends/CC2/LFO2/Pitch
0x1015D9 (packed: 0x402B59)=00              PatchSends Zone/block[11]/PatchSends/CC2/LFO2/TVF
0x1015DA (packed: 0x402B5A)=00              PatchSends Zone/block[11]/PatchSends/CC2/LFO2/TVA
0x1015DB (packed: 0x402B5B)=00              PatchSends Zone/block[11]/PatchSends/CC2/[0]/reserved
0x1015DC (packed: 0x402B5C)=00              PatchSends Zone/block[11]/PatchSends/CC2/[1]/reserved
0x1015DD (packed: 0x402B5D)=00              PatchSends Zone/block[11]/PatchSends/CC2/[2]/reserved
0x1015DE (packed: 0x402B5E)=00              PatchSends Zone/block[11]/PatchSends/CC2/[3]/reserved
0x1015DF (packed: 0x402B5F)=00              PatchSends Zone/block[11]/PatchSends/CC2/[4]/reserved
0x101600 (packed: 0x402C00)=40              PatchSends Zone/block[12]/PatchSends/MOD/Pitch Coarse
0x101601 (packed: 0x402C01)=40              PatchSends Zone/block[12]/PatchSends/MOD/TVF
0x101602 (packed: 0x402C02)=40              PatchSends Zone/block[12]/PatchSends/MOD/TVA
0x101603 (packed: 0x402C03)=40              PatchSends Zone/block[12]/PatchSends/MOD/LFO1/Rate
0x101604 (packed: 0x402C04)=0A              PatchSends Zone/block[12]/PatchSends/MOD/LFO1/Pitch
0x101605 (packed: 0x402C05)=00              PatchSends Zone/block[12]/PatchSends/MOD/LFO1/TVF
0x101606 (packed: 0x402C06)=00              PatchSends Zone/block[12]/PatchSends/MOD/LFO1/TVA
0x101607 (packed: 0x402C07)=40              PatchSends Zone/block[12]/PatchSends/MOD/LFO2/Rate
0x101608 (packed: 0x402C08)=00              PatchSends Zone/block[12]/PatchSends/MOD/LFO2/Pitch
0x101609 (packed: 0x402C09)=00              PatchSends Zone/block[12]/PatchSends/MOD/LFO2/TVF
0x10160A (packed: 0x402C0A)=00              PatchSends Zone/block[12]/PatchSends/MOD/LFO2/TVA
0x10160B (packed: 0x402C0B)=00              PatchSends Zone/block[12]/PatchSends/MOD/[0]/reserved
0x10160C (packed: 0x402C0C)=00              PatchSends Zone/block[12]/PatchSends/MOD/[1]/reserved
0x10160D (packed: 0x402C0D)=00              PatchSends Zone/block[12]/PatchSends/MOD/[2]/reserved
0x10160E (packed: 0x402C0E)=00              PatchSends Zone/block[12]/PatchSends/MOD/[3]/reserved
0x10160F (packed: 0x402C0F)=00              PatchSends Zone/block[12]/PatchSends/MOD/[4]/reserved
0x101610 (packed: 0x402C10)=42              PatchSends Zone/block[12]/PatchSends/BEND/Pitch Coarse
0x101611 (packed: 0x402C11)=40              PatchSends Zone/block[12]/PatchSends/BEND/TVF
0x101612 (packed: 0x402C12)=40              PatchSends Zone/block[12]/PatchSends/BEND/TVA
0x101613 (packed: 0x402C13)=40              PatchSends Zone/block[12]/PatchSends/BEND/LFO1/Rate
0x101614 (packed: 0x402C14)=00              PatchSends Zone/block[12]/PatchSends/BEND/LFO1/Pitch
0x101615 (packed: 0x402C15)=00              PatchSends Zone/block[12]/PatchSends/BEND/LFO1/TVF
0x101616 (packed: 0x402C16)=00              PatchSends Zone/block[12]/PatchSends/BEND/LFO1/TVA
0x101617 (packed: 0x402C17)=40              PatchSends Zone/block[12]/PatchSends/BEND/LFO2/Rate
0x101618 (packed: 0x402C18)=00              PatchSends Zone/block[12]/PatchSends/BEND/LFO2/Pitch
0x101619 (packed: 0x402C19)=00              PatchSends Zone/block[12]/PatchSends/BEND/LFO2/TVF
0x10161A (packed: 0x402C1A)=00              PatchSends Zone/block[12]/PatchSends/BEND/LFO2/TVA
0x10161B (packed: 0x402C1B)=00              PatchSends Zone/block[12]/PatchSends/BEND/[0]/reserved
0x10161C (packed: 0x402C1C)=00              PatchSends Zone/block[12]/PatchSends/BEND/[1]/reserved
0x10161D (packed: 0x402C1D)=00              PatchSends Zone/block[12]/PatchSends/BEND/[2]/reserved
0x10161E (packed: 0x402C1E)=00              PatchSends Zone/block[12]/PatchSends/BEND/[3]/reserved
0x10161F (packed: 0x402C1F)=00              PatchSends Zone/block[12]/PatchSends/BEND/[4]/reserved
0x101620 (packed: 0x402C20)=40              PatchSends Zone/block[12]/PatchSends/CAF/Pitch Coarse
0x101621 (packed: 0x402C21)=40              PatchSends Zone/block[12]/PatchSends/CAF/TVF
0x101622 (packed: 0x402C22)=40              PatchSends Zone/block[12]/PatchSends/CAF/TVA
0x101623 (packed: 0x402C23)=40              PatchSends Zone/block[12]/PatchSends/CAF/LFO1/Rate
0x101624 (packed: 0x402C24)=00              PatchSends Zone/block[12]/PatchSends/CAF/LFO1/Pitch
0x101625 (packed: 0x402C25)=00              PatchSends Zone/block[12]/PatchSends/CAF/LFO1/TVF
0x101626 (packed: 0x402C26)=00              PatchSends Zone/block[12]/PatchSends/CAF/LFO1/TVA
0x101627 (packed: 0x402C27)=40              PatchSends Zone/block[12]/PatchSends/CAF/LFO2/Rate
0x101628 (packed: 0x402C28)=00              PatchSends Zone/block[12]/PatchSends/CAF/LFO2/Pitch
0x101629 (packed: 0x402C29)=00              PatchSends Zone/block[12]/PatchSends/CAF/LFO2/TVF
0x10162A (packed: 0x402C2A)=00              PatchSends Zone/block[12]/PatchSends/CAF/LFO2/TVA
0x10162B (packed: 0x402C2B)=00              PatchSends Zone/block[12]/PatchSends/CAF/[0]/reserved
0x10162C (packed: 0x402C2C)=00              PatchSends Zone/block[12]/PatchSends/CAF/[1]/reserved
0x10162D (packed: 0x402C2D)=00              PatchSends Zone/block[12]/PatchSends/CAF/[2]/reserved
0x10162E (packed: 0x402C2E)=00              PatchSends Zone/block[12]/PatchSends/CAF/[3]/reserved
0x10162F (packed: 0x402C2F)=00              PatchSends Zone/block[12]/PatchSends/CAF/[4]/reserved
0x101630 (packed: 0x402C30)=40              PatchSends Zone/block[12]/PatchSends/PAF/Pitch Coarse
0x101631 (packed: 0x402C31)=40              PatchSends Zone/block[12]/PatchSends/PAF/TVF
0x101632 (packed: 0x402C32)=40              PatchSends Zone/block[12]/PatchSends/PAF/TVA
0x101633 (packed: 0x402C33)=40              PatchSends Zone/block[12]/PatchSends/PAF/LFO1/Rate
0x101634 (packed: 0x402C34)=00              PatchSends Zone/block[12]/PatchSends/PAF/LFO1/Pitch
0x101635 (packed: 0x402C35)=00              PatchSends Zone/block[12]/PatchSends/PAF/LFO1/TVF
0x101636 (packed: 0x402C36)=00              PatchSends Zone/block[12]/PatchSends/PAF/LFO1/TVA
0x101637 (packed: 0x402C37)=40              PatchSends Zone/block[12]/PatchSends/PAF/LFO2/Rate
0x101638 (packed: 0x402C38)=00              PatchSends Zone/block[12]/PatchSends/PAF/LFO2/Pitch
0x101639 (packed: 0x402C39)=00              PatchSends Zone/block[12]/PatchSends/PAF/LFO2/TVF
0x10163A (packed: 0x402C3A)=00              PatchSends Zone/block[12]/PatchSends/PAF/LFO2/TVA
0x10163B (packed: 0x402C3B)=00              PatchSends Zone/block[12]/PatchSends/PAF/[0]/reserved
0x10163C (packed: 0x402C3C)=00              PatchSends Zone/block[12]/PatchSends/PAF/[1]/reserved
0x10163D (packed: 0x402C3D)=00              PatchSends Zone/block[12]/PatchSends/PAF/[2]/reserved
0x10163E (packed: 0x402C3E)=00              PatchSends Zone/block[12]/PatchSends/PAF/[3]/reserved
0x10163F (packed: 0x402C3F)=00              PatchSends Zone/block[12]/PatchSends/PAF/[4]/reserved
0x101640 (packed: 0x402C40)=40              PatchSends Zone/block[12]/PatchSends/CC1/Pitch Coarse
0x101641 (packed: 0x402C41)=40              PatchSends Zone/block[12]/PatchSends/CC1/TVF
0x101642 (packed: 0x402C42)=40              PatchSends Zone/block[12]/PatchSends/CC1/TVA
0x101643 (packed: 0x402C43)=40              PatchSends Zone/block[12]/PatchSends/CC1/LFO1/Rate
0x101644 (packed: 0x402C44)=00              PatchSends Zone/block[12]/PatchSends/CC1/LFO1/Pitch
0x101645 (packed: 0x402C45)=00              PatchSends Zone/block[12]/PatchSends/CC1/LFO1/TVF
0x101646 (packed: 0x402C46)=00              PatchSends Zone/block[12]/PatchSends/CC1/LFO1/TVA
0x101647 (packed: 0x402C47)=40              PatchSends Zone/block[12]/PatchSends/CC1/LFO2/Rate
0x101648 (packed: 0x402C48)=00              PatchSends Zone/block[12]/PatchSends/CC1/LFO2/Pitch
0x101649 (packed: 0x402C49)=00              PatchSends Zone/block[12]/PatchSends/CC1/LFO2/TVF
0x10164A (packed: 0x402C4A)=00              PatchSends Zone/block[12]/PatchSends/CC1/LFO2/TVA
0x10164B (packed: 0x402C4B)=00              PatchSends Zone/block[12]/PatchSends/CC1/[0]/reserved
0x10164C (packed: 0x402C4C)=00              PatchSends Zone/block[12]/PatchSends/CC1/[1]/reserved
0x10164D (packed: 0x402C4D)=00              PatchSends Zone/block[12]/PatchSends/CC1/[2]/reserved
0x10164E (packed: 0x402C4E)=00              PatchSends Zone/block[12]/PatchSends/CC1/[3]/reserved
0x10164F (packed: 0x402C4F)=00              PatchSends Zone/block[12]/PatchSends/CC1/[4]/reserved
0x101650 (packed: 0x402C50)=40              PatchSends Zone/block[12]/PatchSends/CC2/Pitch Coarse
0x101651 (packed: 0x402C51)=40              PatchSends Zone/block[12]/PatchSends/CC2/TVF
0x101652 (packed: 0x402C52)=40              PatchSends Zone/block[12]/PatchSends/CC2/TVA
0x101653 (packed: 0x402C53)=40              PatchSends Zone/block[12]/PatchSends/CC2/LFO1/Rate
0x101654 (packed: 0x402C54)=00              PatchSends Zone/block[12]/PatchSends/CC2/LFO1/Pitch
0x101655 (packed: 0x402C55)=00              PatchSends Zone/block[12]/PatchSends/CC2/LFO1/TVF
0x101656 (packed: 0x402C56)=00              PatchSends Zone/block[12]/PatchSends/CC2/LFO1/TVA
0x101657 (packed: 0x402C57)=40              PatchSends Zone/block[12]/PatchSends/CC2/LFO2/Rate
0x101658 (packed: 0x402C58)=00              PatchSends Zone/block[12]/PatchSends/CC2/LFO2/Pitch
0x101659 (packed: 0x402C59)=00              PatchSends Zone/block[12]/PatchSends/CC2/LFO2/TVF
0x10165A (packed: 0x402C5A)=00              PatchSends Zone/block[12]/PatchSends/CC2/LFO2/TVA
0x10165B (packed: 0x402C5B)=00              PatchSends Zone/block[12]/PatchSends/CC2/[0]/reserved
0x10165C (packed: 0x402C5C)=00              PatchSends Zone/block[12]/PatchSends/CC2/[1]/reserved
0x10165D (packed: 0x402C5D)=00              PatchSends Zone/block[12]/PatchSends/CC2/[2]/reserved
0x10165E (packed: 0x402C5E)=00              PatchSends Zone/block[12]/PatchSends/CC2/[3]/reserved
0x10165F (packed: 0x402C5F)=00              PatchSends Zone/block[12]/PatchSends/CC2/[4]/reserved
0x101680 (packed: 0x402D00)=40              PatchSends Zone/block[13]/PatchSends/MOD/Pitch Coarse
0x101681 (packed: 0x402D01)=40              PatchSends Zone/block[13]/PatchSends/MOD/TVF
0x101682 (packed: 0x402D02)=40              PatchSends Zone/block[13]/PatchSends/MOD/TVA
0x101683 (packed: 0x402D03)=40              PatchSends Zone/block[13]/PatchSends/MOD/LFO1/Rate
0x101684 (packed: 0x402D04)=0A              PatchSends Zone/block[13]/PatchSends/MOD/LFO1/Pitch
0x101685 (packed: 0x402D05)=00              PatchSends Zone/block[13]/PatchSends/MOD/LFO1/TVF
